地域,大学名
北海道・東北地区,北海道大学
北海道・東北地区,北海道教育大学
北海道・東北地区,室蘭工業大学
北海道・東北地区,小樽商科大学
北海道・東北地区,帯広畜産大学
北海道・東北地区,旭川医科大学
北海道・東北地区,北見工業大学
北海道・東北地区,弘前大学
北海道・東北地区,岩手大学
北海道・東北地区,東北大学
北海道・東北地区,宮城教育大学
北海道・東北地区,秋田大学
北海道・東北地区,山形大学
北海道・東北地区,福島大学
関東・甲信越地区,茨城大学
関東・甲信越地区,筑波大学
関東・甲信越地区,筑波技術大学
関東・甲信越地区,宇都宮大学
関東・甲信越地区,群馬大学
関東・甲信越地区,埼玉大学
関東・甲信越地区,千葉大学
関東・甲信越地区,東京大学
関東・甲信越地区,東京医科歯科大学
関東・甲信越地区,東京外国語大学
関東・甲信越地区,東京学芸大学
関東・甲信越地区,東京農工大学
関東・甲信越地区,東京芸術大学
関東・甲信越地区,東京工業大学
関東・甲信越地区,東京海洋大学
関東・甲信越地区,お茶の水女子大学
関東・甲信越地区,電気通信大学
関東・甲信越地区,一橋大学
関東・甲信越地区,横浜国立大学
関東・甲信越地区,新潟大学
関東・甲信越地区,長岡技術科学大学
関東・甲信越地区,上越教育大学
関東・甲信越地区,山梨大学
関東・甲信越地区,信州大学
関東・甲信越地区,政策研究大学院大学
関東・甲信越地区,総合研究大学院大学
東海・北陸・近畿地区,富山大学
東海・北陸・近畿地区,金沢大学
東海・北陸・近畿地区,福井大学
東海・北陸・近畿地区,岐阜大学
東海・北陸・近畿地区,静岡大学
東海・北陸・近畿地区,浜松医科大学
東海・北陸・近畿地区,名古屋大学
東海・北陸・近畿地区,愛知教育大学
東海・北陸・近畿地区,名古屋工業大学
東海・北陸・近畿地区,豊橋技術科学大学
東海・北陸・近畿地区,三重大学
東海・北陸・近畿地区,滋賀大学
東海・北陸・近畿地区,滋賀医科大学
東海・北陸・近畿地区,京都大学
東海・北陸・近畿地区,京都教育大学
東海・北陸・近畿地区,京都工芸繊維大学
東海・北陸・近畿地区,大阪大学
東海・北陸・近畿地区,大阪教育大学
東海・北陸・近畿地区,兵庫教育大学
東海・北陸・近畿地区,神戸大学
東海・北陸・近畿地区,奈良教育大学
東海・北陸・近畿地区,奈良女子大学
東海・北陸・近畿地区,和歌山大学
東海・北陸・近畿地区,北陸先端科学技術大学院大学
東海・北陸・近畿地区,奈良先端科学技術大学院大学
中国・四国地区,鳥取大学
中国・四国地区,島根大学
中国・四国地区,岡山大学
中国・四国地区,広島大学
中国・四国地区,山口大学
中国・四国地区,徳島大学
中国・四国地区,鳴門教育大学
中国・四国地区,香川大学
中国・四国地区,愛媛大学
中国・四国地区,高知大学
九州・沖縄地区,福岡教育大学
九州・沖縄地区,九州大学（九州芸術工科大学）
九州・沖縄地区,九州工業大学
九州・沖縄地区,佐賀大学
九州・沖縄地区,長崎大学
九州・沖縄地区,熊本大学
九州・沖縄地区,大分大学
九州・沖縄地区,宮崎大学
九州・沖縄地区,鹿児島大学
九州・沖縄地区,鹿屋体育大学
九州・沖縄地区,琉球大学
